,0,1,2,3,4,5,6,7,8
83,10.7852,10.6187,11.103,12.3187,12.0696,12.5866,10.0829,9.8339,10.3417
84,10.8963,10.8761,11.2392,12.1543,11.9591,12.4303,10.2738,10.1865,10.5886
85,11.0921,11.0664,11.5066,12.0835,11.8939,12.3882,10.2867,10.1881,10.5943
86,10.9581,10.9076,11.285,11.9691,11.7691,12.2337,10.1282,9.9977,10.3904
87,10.8917,10.796,11.2441,11.8922,11.6773,12.1589,10.0236,9.8685,10.2871
88,10.7157,10.601,11.0792,11.8559,11.6377,12.1235,10.1436,9.9685,10.4512
89,10.854,10.5947,11.1204,11.8075,11.5488,12.0319,10.5957,10.2153,10.8007
90,10.8701,10.6164,11.0924,11.8133,11.5097,11.9733,10.8218,10.4627,10.9753
91,10.9354,10.6429,11.1103,11.7234,11.4123,11.8664,10.9085,10.5579,11.0588
92,10.8237,10.5782,11.0437,11.6432,11.3427,11.7933,10.8116,10.5005,11.0028
93,10.7095,10.4682,10.9522,11.6308,11.3197,11.7997,10.7838,10.4643,11.0007
94,10.5984,10.3596,10.8292,11.7349,11.4162,11.8715,10.6467,10.3508,10.8546
95,10.5115,10.2759,10.7459,12.1011,11.7601,12.2996,10.4744,10.1939,10.6863
96,10.426,10.1821,10.6444,12.2665,11.8973,12.4553,10.4119,10.1176,10.6177
97,10.3858,10.1413,10.5997,12.1083,11.761,12.2923,10.3926,10.1008,10.6152
98,10.3193,10.1384,10.5702,12.1379,11.9745,12.4508,10.2893,10.0988,10.591
99,10.3181,10.1299,10.5943,12.5197,12.406,12.9202,10.2646,10.1055,10.6257
100,10.329,10.0891,10.5798,12.7802,12.5296,13.1028,10.2993,10.0742,10.6311
101,10.3976,10.1144,10.599,12.7589,12.4398,12.9919,10.2462,9.9945,10.5362
102,10.3445,10.032,10.5007,12.6184,12.2483,12.7751,10.3889,10.04,10.5661
103,10.3469,10.0267,10.4985,12.436,12.0717,12.6209,10.548,10.2355,10.8378
104,10.3199,10.0749,10.4443,12.3369,12.1031,12.5268,10.6706,10.5005,10.9119
105,10.4521,10.3026,10.6051,12.2421,12.13,12.4599,10.6108,10.4548,10.8419
106,10.5872,10.3679,10.6456,12.4254,12.2642,12.5295,10.8929,10.6603,11.0083
107,10.4857,10.2937,10.5566,12.5185,12.4075,12.611,11.2264,11.0601,11.3316
108,10.5434,10.3467,10.6176,12.5999,12.4227,12.7056,11.1283,10.9288,11.2482
109,10.5809,10.3498,10.712,12.841,12.6231,13.1231,11.2633,11.0149,11.5296
110,10.4659,10.1729,10.5279,12.5281,12.2359,12.6793,11.5945,10.9872,11.5446
111,10.4836,10.0941,10.4646,12.552,12.1287,12.5715,11.7058,11.0736,11.6
112,10.3568,9.9839,10.3299,12.4637,12.0669,12.4575,11.463,10.8839,11.3633
113,10.3237,9.9825,10.2907,12.341,11.9735,12.3369,11.2857,10.7633,11.2052
114,10.3555,10.0057,10.3827,12.2424,11.89,12.2963,11.4388,10.9554,11.509
115,10.316,9.9298,10.3698,12.0338,11.6728,12.1212,11.2768,10.7649,11.3285
116,10.4438,9.9859,10.4473,11.8895,11.4862,11.9854,11.1228,10.6081,11.1524
117,10.3548,9.9183,10.3608,11.8749,11.4519,11.9764,10.884,10.392,10.9329
118,10.2242,9.8257,10.236,11.7909,11.3989,11.8841,10.6794,10.2378,10.76
119,10.054,9.7015,10.0894,11.6448,11.2769,11.7495,10.634,10.2489,10.7552
120,9.9057,9.6201,9.9981,11.4901,11.1826,11.6382,10.4946,10.1462,10.6597
121,9.8787,9.6539,10.0153,11.426,11.1915,11.6102,10.3566,10.071,10.554
122,9.82,9.5848,9.9272,11.5962,11.3457,11.7218,10.2017,9.9343,10.3848
123,9.7125,9.474,9.8133,11.5801,11.3217,11.7167,10.103,9.8337,10.2874
124,9.5997,9.3949,9.725,11.5949,11.444,11.7982,9.972,9.7503,10.1846
125,9.5026,9.3148,9.6463,11.4641,11.2897,11.6586,9.8409,9.6452,10.0771
126,9.455,9.2714,9.6272,11.3391,11.1561,11.5439,9.8672,9.6779,10.1522
127,9.4159,9.2642,9.5787,11.2893,11.1441,11.4907,9.9665,9.8184,10.2336
128,9.4602,9.2836,9.5557,11.1976,11.0626,11.3742,10.04,9.8457,10.2141
129,9.4063,9.269,9.5432,11.0911,10.9927,11.2736,9.8612,9.7046,10.0833
130,9.4063,9.287,9.5645,11.1383,11.0833,11.3432,9.8137,9.6707,10.0578
131,9.4426,9.2673,9.5251,11.1168,11.0502,11.2855,9.7677,9.5802,9.9466
132,9.3421,9.2177,9.4519,11.0353,10.9976,11.2191,9.6998,9.5479,9.8813
